s1, s2, s3, t1, t2, t3
13680529,13675504,10556842,0.0368239879608,0.161861896515,0.537786006927
13708337,11394601,10164059,0.0363690853119,0.159793138504,0.366236925125
11643524,8687067,10586205,0.0359427928925,0.160374879837,0.427489042282
9200502,8718214,11107667,0.0356471538544,0.159702062607,0.364822149277
10462822,13847400,12014661,0.0359621047974,0.158293962479,0.311782121658
10078675,12409350,12014458,0.0360231399536,0.159727096558,0.276398897171
10725519,11410093,10981561,0.0358641147614,0.159247159958,0.372515916824
9686380,12187571,11391783,0.0367670059204,0.160871982574,0.361701965332
11678306,10438707,8968512,0.03568816185,0.158940076828,0.498891115189
13883937,11247675,11696833,0.0353689193726,0.160136938095,0.335743904114
10476956,11275869,9062221,0.035982131958,0.171741962433,0.367532014847
11924296,9639253,10132684,0.0368568897247,0.160121917725,0.318386077881
10320801,8683664,10369760,0.0359358787537,0.162113904953,0.281268119812
11624793,11275869,10981561,0.0363850593567,0.158219099045,0.294090986252
12017231,10936876,11797289,0.0362129211426,0.161027193069,0.489630937576
12458572,11769889,10435641,0.0355648994446,0.161839008331,0.413306951523
14507665,12238297,9870272,0.0366201400757,0.159637928009,0.404289960861
9649008,11161176,12353452,0.0371458530426,0.162232875824,0.427166938782
8987356,9062221,10132684,0.0352630615234,0.160245895386,0.486037969589
11548298,8998964,11023052,0.0357360839844,0.163296937943,0.575402975082
12020810,14261674,8687067,0.0358951091766,0.161256074905,0.369781017303
14981859,11860762,10164059,0.0386528968811,0.15914607048,0.335918903351
10061295,9027760,11967518,0.0354700088501,0.162591934204,0.313019990921
12754867,13930684,10639016,0.0360090732574,0.159811019897,0.277174949646
16073617,12461419,8695494,0.0354309082031,0.159662008286,0.408015966415
11402158,9835051,11290194,0.0352380275726,0.159195899963,0.360494852066
10300348,12339892,8775072,0.037976026535,0.159175157547,0.51885509491
11228062,9282511,10132684,0.0365009307861,0.160412073135,0.363185882568
14360018,11076332,10132684,0.0372521877289,0.160573005676,0.740317106247
12242534,10614707,12416685,0.0365250110626,0.159101009369,0.429608106613
10479229,11023297,9980010,0.035471200943,0.160706043243,0.276648044586
12117851,12215405,8679132,0.0360028743744,0.161150932312,0.612290143967
12181966,8767701,10132684,0.0353510379791,0.164240121841,0.411705970764
11012867,13265566,12928220,0.0358490943909,0.158869028091,0.47945690155
12288880,10556127,10586205,0.0364680290222,0.158527851105,0.364898920059
13160263,11036366,12403926,0.0369999408722,0.160541057587,0.512455224991
12687259,10254214,10648780,0.0366299152374,0.159933805466,0.333081960678
11320763,10568428,10132684,0.0347878932953,0.159849882126,0.451367855072
11428313,10164059,10132684,0.0358669757843,0.159790039062,0.310899019241
14708992,13158986,10141439,0.0366859436035,0.158864021301,0.37421298027
11284737,9849421,10614707,0.0352699756622,0.16122508049,0.272483110428
12071783,10556897,10164059,0.0355579853058,0.161155939102,0.397699117661
11478181,11966007,10181009,0.0359039306641,0.161581993103,0.436909914017
11712015,11303193,11697736,0.0352690219879,0.163592100143,0.4144551754
13702466,14412632,10556127,0.035660982132,0.161206007004,0.622277021408
11434804,8968512,8691321,0.0362651348114,0.160051822662,0.581349849701
14095810,14431314,10614707,0.0357019901276,0.16143488884,0.451062202454
12169883,12192145,13296151,0.0357151031494,0.160594940186,0.307540893555
11110924,11036366,8606274,0.0357978343964,0.163219928741,0.546550989151
11316114,11163972,8998964,0.0358951091766,0.160485982895,0.312428951263
12329527,12057548,8687067,0.0368571281433,0.160731077194,0.530389070511
15994360,9849421,10164059,0.0360929965973,0.160174846649,0.502468109131
11370050,9682355,10132684,0.0374181270599,0.161463022232,0.476293087006
13526967,10578544,8703213,0.0377979278564,0.160091161728,0.594656944275
12940167,9133473,10318109,0.0360159873962,0.161438941956,0.41453909874
11908111,10438707,8688968,0.0360019207001,0.15963101387,0.317208051682
9940706,11561302,10637489,0.0359439849854,0.158905029297,0.616541862488
9860982,13358726,9064653,0.0365400314331,0.161858797073,0.46582698822
11517018,11410093,9027226,0.0354540348053,0.161098003387,0.441957950592
11594049,9725006,9119900,0.0355360507965,0.158806085587,0.292949914932
15272658,10132684,11627764,0.036337852478,0.161223173141,0.283817052841
12434501,10438707,9605834,0.0349390506744,0.15901017189,0.73366189003
11926154,9862543,11049433,0.0360169410706,0.161987066269,1.12139391899
12590122,10518591,10763304,0.0358040332794,0.163794994354,0.424260139465
11711102,11023052,9984666,0.0378861427307,0.159893035889,0.253560781479
13736268,8968512,8687067,0.0361931324005,0.160117864609,0.765384912491
11656532,9806342,9666443,0.0373840332031,0.158998966217,0.373755931854
12543437,13675504,9019607,0.0364549160004,0.160206794739,0.333751916885
12507400,11967518,11459392,0.0364198684692,0.162483930588,0.402276039124
10550850,9835051,8683664,0.0356719493866,0.158527135849,0.460771083832
11334000,11086799,8687067,0.0366191864014,0.160853862762,0.273633956909
12908430,10556842,11627764,0.0363740921021,0.159384965897,0.311491966248
9973495,10164059,10556127,0.036670923233,0.163104057312,0.330801010132
13417779,12064601,11623385,0.0376198291779,0.162441015244,0.338304042816
11361523,12662660,9133473,0.0364668369293,0.161360025406,0.284626960754
10827577,11696065,10556897,0.0367460250854,0.163500070572,0.476408004761
11945213,10981561,9843730,0.0359618663788,0.161873102188,0.425555944443
12702261,11363746,10568428,0.0364820957184,0.16224193573,0.460710048676
11358082,12089567,10763304,0.036434173584,0.161570072174,0.623610019684
16787244,9884641,11340337,0.0367147922516,0.162379980087,0.320363044739
9523381,11275869,9636167,0.0379860401154,0.163650989532,0.41845703125
13566549,10254214,10763304,0.0370440483093,0.163954019547,0.576305150986
12684998,11328123,10568428,0.0360159873962,0.161150932312,0.403105974197
12391084,10438707,9851322,0.0373418331146,0.161861896515,0.317847967148
9091776,10132684,10839133,0.0363969802856,0.16422700882,0.628929138184
11772715,11247675,10501573,0.0361630916595,0.161679983139,0.42399597168
11549136,9682355,10254214,0.0381848812103,0.160661935806,0.34352183342
11822200,10898068,11205567,0.0362951755524,0.161054134369,0.476768016815
13697793,10132684,8968512,0.0358688831329,0.162509918213,0.504011154175
9941141,10556127,8718214,0.0363872051239,0.162715911865,0.752964019775
10294443,11749986,9849421,0.0362839698792,0.161391973495,0.308192968369
13377323,11208733,10568428,0.0365688800812,0.160645961761,0.458971977234
12118966,11623385,11459392,0.0380730628967,0.159981966019,0.412192106247
13478889,9639253,9725006,0.0385448932648,0.160909891129,0.354133844376
9617483,11055769,9028749,0.0377368927002,0.169739961624,0.554200172424
10940521,11247675,9066488,0.0369000434875,0.160950899124,0.336585998535
10343024,11749986,10981561,0.0366461277008,0.160695075989,0.415433883667
13974137,8968512,11275869,0.0365200042725,0.161852836609,0.447283029556
11387678,14273774,10141439,0.0366208553314,0.160916805267,0.403271913528
12983142,12403926,12130289,0.0363309383392,0.161828994751,0.334192991257
